Year,TotalForeignPop,BornEurope,BornAsia,BornAfrica,BornOceania,BornLatinAm,BornNorthAm,YoungerThan25,Between25_55,Between55_85,OlderThan85
2015,43290372,4805231,13246854,2077938,259742,22121380,822517,5541168,25281577,11731691,735936
2014,42391794,4747881,12759930,1950023,254351,21874166,805444,5638109,24883983,11149042,720660
2013,41348066,4796376,12197679,1819315,206740,21459646,826961,5664685,24436707,10585105,702917
2012,40824658,4817310,11920800,1714636,244948,21310471,816493,5797101,24209022,10124515,653195
2011,40377860,4885721,11675852,1655492,201889,21238754,807557,5975923,24024827,9731064,605668
2010,39955854,4834658,11267551,1598234,199779,21216558,799117,6352981,23773733,9269758,559382
2009,38517234,4891689,10669274,1502172,192586,20452651,808862,6008689,23225892,8743412,539241
2008,37960935,4972882,10363335,1442516,227766,20157256,835141,6073750,22890444,8427328,569414
2007,38059694,4985820,10199998,1408209,228358,20399996,837313,6470148,22988055,8144775,494776
2006,37547789,4993856,10062807,1389268,187739,20088067,863599,6645959,22641317,7809940,488121
2005,35689842,4746749,9564878,1320524,178449,19094065,820866,6317102,21520975,7423487,463968
